,댓글,작성자,작성시간
15897,영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버영크리에이터포에버,따까리가 머라카노,50:33
15898,상수야 ㅗㅗㅗㅗㅗ,이건우,50:34
15899,형님 지금도 접힌일기 가능 하신가요?,발데라마,50:35
15900,상수형 팬이에요,군대가는사나이,50:35
15901,공포영화 더 테이저 상수 봤나요?,지나가는행인1,50:35
15902,아니 니 만 알아라고 씨발 개,배룡,50:35
15903,형 저랑 마짱떠주세요,이지이지,50:36
15904,공포영화 더 테이저 상수 봤나요?,지나가는행인1,50:36
15905,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,50:36
15906,공포영화 더 테이저 상수 봤나요?,지나가는행인1,50:37
15907,상수 ㅗ,이건우,50:38
15908,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,50:40
15909,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,50:40
15910,상수형 팬이에요,군대가는사나이,50:40
15911,상수행님 단편 공포영화 더 팩토리 존나 재밌습니다,잼민이 유튜브,50:41
15912,형 저랑 마짱떠주세요,이지이지,50:41
15913,안본다고 시발 상수야 시발 상수야 안궁급해,성규형님오른팔,50:41
15914,안본다고 시발 상수야 시발 상수야 안궁급해,성규형님오른팔,50:41
15915,상수행님 썰 풀어주시면 어찌안될까요..?ㅠㅠ,컽,50:42
15916,형 거울 보면 그게 공포아님?,전젼,50:42
15917,상수님 동구녕에 관장해도되나요?,물복자,50:42
15918,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,50:43
15919,안본다고 시발 상수야 시발 상수야 안궁급해,성규형님오른팔,50:43
15920,상수님 기부내역 공개하세요,걸동,50:43
15921,상수 뻑킹 !,이건우,50:43
15922,올림픽 중계해주세요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,One Day More,50:44
15923,소유주랑 마짱떠주세요,이지이지,50:45
15924,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,50:45
15925,안본다고 시발 상수야 시발 상수야 안궁급해,성규형님오른팔,50:45
15926,형님 지금도 접힌일기 가능 하신가요?,발데라마,50:48
15927,자기 얘기만 하지말고 댓글 보고 반응 좀~~~~,ᄋᄇ,50:48
15928,이럴거면 방송꺼,OnArt studio,50:49
15929,안본다고 시발 상수야 시발 상수야 안궁급해,성규형님오른팔,50:49
15930,올림픽 중계해주세요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,One Day More,50:50
15931,형 저랑 마짱떠주세요,이지이지,50:50
15932,상수야 맞짱이나뜨자,철이,50:51
15933,사랑해료,안광원,50:51
15934,형님 얼굴이 공포장편영화 입니다,김태현,50:51
15935,상숭랴,성규형님오른팔,50:51
15936,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,50:52
15937,오포읍 다방에서 중국인여자 팔짱끼고 노래방가던데 좋으셨나요??????,창민,50:52
15938,상수형 구독 누르고 갈께요,군대가는사나이,50:52
15939,썰좀 풀어주세요 ㅜㅜ,컽,50:53
15940,상수야 부산오면 죽탱이 날린다,1984년도생 부산김서후,50:54
15941,상수형 명사수 벌스한번만해주세요,정병헌,50:54
15942,상수야 거제 고현동에 내 눈에 띄면 디진다 알겠나?? 꼬우면 다이 함 깨든가,H,50:54
15943,올림픽 중계해주세요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,One Day More,50:54
15944,형 저랑 마짱떠주세요,이지이지,50:54
15945,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,50:55
15946,형님 지금도 접힌일기 가능 하신가요?,발데라마,50:55
15947,노잼이다,배룡,50:55
15948,707베이비영철님이 명현만선수 다음 정상수님이랑 스파링하고 싶답니다 당연히 이긴다고 하네요,코카,50:56
15949,올림픽 중계해주세요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,One Day More,50:56
15950,봉하중 엠씨무현 화이팅 해주세요,권민재,50:58
15951,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,50:59
15952,상수야 안궁금하다 ^^ㅣ발rㅏ,qwazz s,50:59
15953,영크리에이터포에버 반말하지마라 스발자슥아,ㆍ,51:00
15954,상수야 깝치지 마라,1984년도생 부산김서후,51:00
15955,안녕허세요 상수오바,서연,51:00
15956,화내주세요,조하준,51:01
15957,테이저룸 ㄱㄱ,김태현,51:01
15958,상수야 안궁금하다 ^^ㅣ발rㅏ,qwazz s,51:02
15959,형 저릴 마짱떠주세요 ,이지이지,51:02
15960,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,51:03
15961,상수야 부엉이바위에서 밀어줄까,철이,51:04
15962,아 씨발 존나 재미없네,시원,51:04
15963,상일고 정해인 화이팅 외쳐주세요,조성현,51:05
15964,상수님 기부내역 공개하세요 ㅡㅡ,걸동,51:05
15965,형 저랑 마짱떠주세요 ,이지이지,51:06
15966,테이저룸 ㄱㄱㄱㄱ,김태현,51:06
15967,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,51:07
15968,정상수 마 니 반말하지마라,물복자,51:07
15969,상수야 안궁금하다 ^^ㅣ발rㅏ,qwazz s,51:08
15970,형 저랑 마짱떠주세요 ,이지이지,51:08
15971,이럴거면 방송끄라고 좀,OnArt studio,51:09
15972,상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라,따까리가 머라카노,51:09
15973,형님 지금도 접힌일기 가능 하신가요?,발데라마,51:10
15974,상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라,따까리가 머라카노,51:10
15975,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,51:10
15976,진짜 펜이에요ㅜ,서연,51:10
15977,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,51:10
15978,형 저랑 마짱떠주세요 ,이지이지,51:11
15979,상일고 정해인 화이팅 외쳐주세요,조성현,51:11
15980,상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라,따까리가 머라카노,51:11
15981,상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라,따까리가 머라카노,51:12
15982,상수형 명사수 벌스한번만해주세요,정병헌,51:13
15983,형 저랑 마짱떠주세요 ,이지이지,51:13
15984,상수행님 단편 공포영화 더 팩토리 미국 단편 공포 영화인데 존나 재밌습니다,잼민이 유튜브,51:13
15985,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,51:14
15986,상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라,따까리가 머라카노,51:14
15987,상수야 부산오지마 쌍놈자슥아,1984년도생 부산김서후,51:15
15988,츄팝츄스 이제 몇개월 할부 합니까?,민기,51:15
15989,상수 안녕,강현서,51:15
15990,상수야 안궁금하다 ^^ㅣ발rㅏ,qwazz s,51:15
15991,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ,Leonardo Saloviani,51:16
15992,형 저랑 마짱떠주세요 ,이지이지,51:16
15993,상일고 정해인 화이팅 외쳐주세요,조성현,51:16
15994,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,51:16
15995,상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라,따까리가 머라카노,51:17
15996,브베엄마 유옥천,유옥천,51:17
15997,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,51:18
15998,형 저랑 마짱떠주세요 ,이지이지,51:18
15999,테이저룸 ㄱㄱㄱ,김태현,51:18
16000,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,51:19
16001,상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라,따까리가 머라카노,51:19
16002,마 놔라! ,sungmin Park,51:21
16003,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,51:21
16004,안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야,성규형님오른팔,51:21
16005,형 저랑 마짱떠주세요 ,이지이지,51:21
16006,상일고 정해인 화이팅 외쳐주세요,조성현,51:22
16007,상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라,따까리가 머라카노,51:22
16008,상일고 정해인 화이팅 외쳐주세요,조성현,51:23
16009,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,51:23
16010,상일고 정해인 화이팅 외쳐주세요,조성현,51:23
16011,랩해주세요ㅜ,서연,51:24
16012,형 저랑 마짱떠주세요 ,이지이지,51:24
16013,안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야,성규형님오른팔,51:24
16014,상수야 안궁금하다 ^^ㅣ발rㅏ,qwazz s,51:24
16015,테이저군 맞은게 자랑이냐 ,Your HamZzi,51:25
16016,츄팝츄스 이제 몇개월 할부 합니까?,민기,51:26
16017,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,51:26
16018,상수야 안궁금하다 ^^ㅣ발rㅏ,qwazz s,51:26
16019,상수야 너 머하냐고 임마,에이플,51:27
16020,안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야,성규형님오른팔,51:27
16021,상수행님 단편 공포영화 더 팩토리 미국 단편 공포 영화인데 존나 재밌습니다,잼민이 유튜브,51:27
16022,더 테이저 상수 ㅋㅋㅋㅋㅋ,호쓰,51:28
16023,707베이비영철님이 명현만선수 다음 정상수님이랑 스파링하고 싶답니다 당연히 이긴다고 하네요707베이비영철님이 명현만선수 다음 정상수님이랑 스파링하고 싶답니다 당연히 이긴다고 하네요707베이비영철님이 명현만선수 다음 정상수님이랑 스파링하고 싶답니다 당연히 이긴다고 하네요707베이비영철님이 명현만선수 다음 정상수님이랑 스파링하고 싶답니다 당연히 이긴다고 하네요,코카,51:28
16024,형님 지금도 접힌일기 가능 하신가요?,발데라마,51:28
16025,상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라,따까리가 머라카노,51:29
16026,형 저랑 마짱떠주세요 ,이지이지,51:29
16027,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,51:29
16028,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,51:29
16029,자흔아 화이팅 해주세요:red_heart::red_heart::blue_heart::blue_heart:!!!,곽미소,51:29
16030,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ,Leonardo Saloviani,51:30
16031,상수바지 축축함?,OnArt studio,51:31
16032,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,51:31
16033,상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라,따까리가 머라카노,51:32
16034,형 저랑 마짱떠주세요 ,이지이지,51:33
16035,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ,Leonardo Saloviani,51:33
16036,탈모가 심하네,저너나주즞,51:33
16037,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,51:33
16038,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,51:34
16039,상일고 정해인 화이팅 외쳐주세요,조성현,51:35
16040,맞아요,정휴지,51:36
16041,:backhand_index_pointing_right:,정상수똥꼬비누관장,51:36
16042,안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야,성규형님오른팔,51:36
16043,형 저랑 마짱떠주세요 ,이지이지,51:36
16044,대호중 이승재 화이팅!,sungmin Park,51:37
16045,상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라상수야 마 끄라,따까리가 머라카노,51:37
16046,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,51:37
16047,상일고 정해인 화이팅 외쳐주세요,조성현,51:37
16048,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,51:38
16049,형 저랑 마짱떠주세요 ,이지이지,51:38
16050,상수형님 나락에서 살고싶나요?,BE'O_OFFICIAL 𝇒,51:38
16051,상수행님 단편 공포영화 더 팩토리 미국 단편 공포 영화인데 존나 재밌습니다,잼민이 유튜브,51:38
16052,상일고 정해인 화이팅 외쳐주세요,조성현,51:38
16053,아니 이새끼 궁금하지도 않을걸 왜이리 씨부림??,배룡,51:39
16054,알겠으니까 테이저건 썰이나 풀라고 상수야 좀 안 궁금하니까,2077 cyberpunk,51:39
16055,상일고 정해인 화이팅 외쳐주세요,조성현,51:39
16056,상수님 떠나시니까 오포읍이 조용해졌답니다,조하준,51:40
16057,안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야,성규형님오른팔,51:40
16058,랩 안하냐?,kkanbuStudio,51:40
16059,형 저랑 마짱떠주세요 ,이지이지,51:41
16060,렉좀 어케해바,철인왕자,51:41
16061,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,51:42
16062,상수야 함 싸우고싶다 너랑,에이플,51:42
16063,ㅡ테이저건 처맞은 게 자랑이다 새끼야ㅋㅋ 니가 뭔 부산을 대표하노,이지성,51:43
16064,형님 지금도 접힌일기 가능 하신가요?,발데라마,51:43
16065,상수행님 단편 공포영화 더 팩토리 미국 단편 공포 영화인데 존나 재밌습니다상수행님 단편 공포영화 더 팩토리 미국 단편 공포 영화인데 존나 재밌습니다상수행님 단편 공포영화 더 팩토리 미국 단편 공포 영화인데 존나 재밌습니다상수행님 단편 공포영화 더 팩토리 미국 단편 공포 영화인데 존나 재밌습니다상수행님 단편 공포영화 더 팩토리 미국 단편 공포 영화인데 존나 ,잼민이 유튜브,51:45
16066,자흔아 화이팅 해주세요:red_heart::red_heart::blue_heart::blue_heart:!!!,곽미소,51:46
16067,상일고 정해인 화이팅 외쳐주세요,조성현,51:46
16068,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,51:46
16069,상수야 1.5리터 페트병보다 얼굴이 기노,전소성,51:46
16070,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,51:46
16071,츄팝츄스 이제 몇개월 할부 합니까?,민기,51:47
16072,상수야 니 윤도현 가수한테 연락 꼭 해라,1984년도생 부산김서후,51:47
16073,안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야,성규형님오른팔,51:49
16074,뭔 자랑이라고 ㅅㅂ,Your HamZzi,51:49
16075,형 저랑 마짱떠주세요 ,이지이지,51:49
16076,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,51:49
16077,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,51:50
16078,상수야 광안리에서 마주치지마라 뒤진다,U SB,51:50
16079,상수님 기부내역 공개하세요ㅡㅡ,걸동,51:50
16080,상수행님 단편 공포영화 더 팩토리 미국 단편 공포 영화인데 존나 재밌습니다,잼민이 유튜브,51:52
16081,형님 서울역 3번 출구에서 노숙자분 담파 뺏은거좀 해명해주세요,안뇽,51:52
16082,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,51:52
16083,마 닥치라,서민철,51:52
16084,아니 정상수는 테이저건 왜 맞았는가 제목 보고 들어왔는데 왜 상수오빠가 본 영화 얘기만 해요ㅡ;;;;;왜 테이저건 맞았어여,ᄋᄇ,51:52
16085,상수야 니목 쪼르고싶다,에이플,51:53
16086,안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야안궁금하다고 시발 상수야,성규형님오른팔,51:53
16087,어제 너목보에 김민성 나왔던데,머리안나,51:53
16088,자흔아 화이팅 해주세요:red_heart::red_heart::blue_heart::blue_heart:!!!,곽미소,51:54
16089,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,51:54
16090,나얼굴을 ㅂㅎㅗ라고]],OnArt studio,51:54
16091,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,51:55
16092,츄팝츄스 이제 몇개월 할부 합니까?,민기,51:55
16093,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,51:57
16094,오빠 귀여워 진심 ,지연,51:57
16095,상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요,조성현,51:57
16096,상수야 테이저건 한번더 맞자 일로와 탈모쉑캬,qwazz s,51:58
16097,닥치고 랩이나해,쁘쁘,51:58
16098,상수형님 나락에서 살고싶냐고요,BE'O_OFFICIAL 𝇒,51:58
16099,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,51:58
16100,형 저랑 마짱떠주세요 ,이지이지,52:00
16101,술먹방해주세요,냥냥펀치,52:00
16102,상수야 니 자갈치시장에서 대마핀거 다 안다,1984년도생 부산김서후,52:00
16103,ㅋㅋ,상수형 코 안에 들어있는 스틱맨,52:00
16104,자흔아 화이팅 해주세요:red_heart::red_heart::blue_heart::blue_heart:!!!,곽미소,52:01
16105,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,52:01
16106,박성민 개새끼박성민 개새끼박성민 개새끼박성민 개새끼박성민 개새끼박성민 개새끼박성민 개새끼박성민 개새끼박성민 개새끼,이승재,52:02
16107,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,52:02
16108,목쪼르고싶다 정상수,에이플,52:02
16109,형님 지금도 접힌일기 가능 하신가요?,발데라마,52:03
16110,올림픽 중계해주세요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,One Day More,52:03
16111,상수야 테이저건 썰풀라고 안궁금하니까 좀,2077 cyberpunk,52:03
16112,형 저랑 마짱떠주세요 ,이지이지,52:03
16113,상수야 테이저건 한번더 맞자 일로와 탈모쉑캬,qwazz s,52:04
16114,거울로 니얼굴을 봐,OnArt studio,52:04
16115,상수야 니 자갈치시장에서 대마핀거 다,1984년도생 부산김서후,52:05
16116,올림픽 중계해주세요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,One Day More,52:05
16117,상수야 렉 존나 심하다 어캐좀 해봐,ㅡ,52:05
16118,상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외쳐주세요상일고 정해인 화이팅 외,조성현,52:05
16119,츄팝츄스 이제 몇개월 할부 합니까?,민기,52:05
16120,상수님 glass란 작품도 이쓴ㄴ데,성규형님오른팔,52:06
16121,상수형님 부산대 우체국 옆에 습근평 돈까스 드셔보셨어요?,서라벌,52:06
