,댓글,작성자,작성시간
304,상수오빠 이거 지금 실시간 라이브인가요,김수진,0:54
305,오빠 달려~,ㅋㅋ,0:54
306,ㅋㅋㅋㅋㅋㅋ,zxcvnm,0:55
307,상수야 홍대 지나다니지말아라,동현 이,0:55
308,나,김민성,0:55
309,섹스해서 ,사람,0:55
310,난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서난동부려서,개빡친상수형,0:55
311,ㅋㅋㅋㅋㅋ,정유수,0:55
312,반만하지마라개섀이야,나도판다얌,0:55
313,먹방하죠,Dh Dh,0:55
314,니 와꾸땜에 그런 듯,신태일충치충2,0:56
315,방송꺼방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼,정현서,0:56
316,상수야 면도하라고,리오넬메구토,0:56
317,방송 꺼라,장민준,0:56
318,잘못했으니까 쳐맞지 ㄲ씨21팔,asdf df,0:56
319,술먹고 행패부려서,박보경,0:56
320,반말하지마라,김도형,0:56
321,나잇값 좀해라 ,정인서,0:56
322,진짜 넌 사람들한테 피해끼친거 평생 반성하며 살아라,ㅇㅇ,0:57
323,안녕하십니까,홀리몰리,0:57
324,경찰한테 나대다가,갱갱,0:57
325,ㅈㄹ처하니까 맞았지 ㅋ,어둠의 정사모,0:57
326,상수야 홍대 지나다니지말아라,동현 이,0:57
327,췍디삿,김형우,0:57
328,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㄱ,0:57
329,제목보고 안들어올수가없엇다,이주현,0:57
330,락,김민성,0:57
331,방송끄라고,반말극혐하는정상수,0:57
332,면도해라,NFT,0:58
333,입 닫아아,포도맛우유,0:58
334,방송 꺼라,월월,0:58
335,상수야 너가 크리스찬인데 인생을 개 뭣같이사니깐 맞지,지원 김,0:58
336,상수야,박박준서,0:58
337,야 니화나 주체해봐,정상수,0:58
338,술먹고 난동부리니까 그렇지,Encyclopedia,0:59
339,그게 자랑이냐?,Knjhgg,0:59
340,잘못배워서 그런거야 ㅋㅋㅋㅋㅋㅋ,abc def,0:59
341,형님 사랑합니다~~~~~~~~~~~~~~~~~~~~~~,켄트리,0:59
342,수야,이주현,0:59
343,빙시가 뭐하러 리마인드하노,식기,0:59
344,방송꺼방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼,정현서,0:59
345,야 상수야,꼬북,0:59
346,상수야 홍대 지나다니지말아라,동현 이,0:59
347,ㅋㅋㅋㅋㅋ,후다닥이,0:59
348,맞을짓을 했으니까 맞았겠지 병신아,우주최강몰랑이,0:59
349,총각오징어김밥 시키라고,어린아기✗,0:59
350,상수야,현규,1:00
351,방제보고 허버허버 뛰어왔노,Connan,1:00
352,진짜 넌 사람들한테 피해끼친거 평생 반성하며 살아라,ㅇㅇ,1:00
353,오빠달려~!,ㅋㅋ,1:00
354,테이져 맞으면 핸드폰 충전됩니까??,최철,1:01
355,입닥치라거,홍민소영,1:01
356,맞은게자랑이냐?,asdf df,1:01
357,존네이 못생겨서 맞았다니까 상수야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,모두피,1:01
358,상수야 홍대 지나다니지말아라,동현 이,1:02
359,같은말 반복하지 말고 빨리해라,지은,1:02
360,입 닫아라,포도맛우유,1:02
361,섹스하자꼬,비비누누,1:02
362,상수형 상수삼,진영,1:02
363,노,ABC,1:02
364,마스크껴라,박지훈,1:02
365,쌍수야,BLACK,1:02
366,맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지,도경님의 손톱때,1:02
367,테이저 키드들 ㅎㅇ,이샌수,1:02
368,모르겠어요:oops::oops::oops::oops::oops::oops::oops::oops::oops::oops::oops::oops::oops::oops:,old @.@,1:03
369,갑자기 테이져건썰:face_screaming_in_fear:,녹색지대,1:03
370,오빵 오늘도 귀여워요 ㅠㅠ,K K,1:03
371,단물 다 빠짓나 상수야 ,호날도,1:04
372,상수야 홍대 지나다니지말아라,동현 이,1:04
373,마 마스크 안 끼나,qpal,1:04
374,깝쳐가꼬,초록매실,1:04
375,입닥치라,홍민소영,1:04
376,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,녕음뭉,1:05
377,아니 ㅋㅋㅋㅋㅋ w랄을 하니깐 쏘지 ㅋㅋㅋㅋ,박민호,1:05
378,필로소퍼가 전화하란다,그뤠이,1:05
379,힝!!,김혜린,1:05
380,정!상!수!,One Day More,1:05
381,상수님 진짜 팬입니다! 반갑습니다,쾌속 접근,1:05
382,"세계로교회,세계로교회",구름,1:05
383,타조알,kkkong king,1:05
384,무,ABC,1:05
385,탈모라서 테이저건맞음,랄로,1:05
386,상수형 팬이에요~~,훈 이,1:06
387,야 상수야,꼬북,1:06
388,ㅎㅎㅎㅎ,김성태,1:06
389,방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송 꺼라 방송 꺼라 방 송 꺼 라 ,츄파피,1:06
390,상수형 엉덩이 졸귀,북극곰.,1:06
391,테이저건썰은 못참지ㅋㅋㅋ,Kenneth Lee,1:06
392,이건 못참zzi,TikTokت피넛,1:06
393,지지지짖직 으어,이서준,1:06
394,방송 꺼라,고갱,1:07
395,상수형님이 테이저건을 맞아야 할 사람인가? 합당하다 생각하는가?,김선생,1:07
396,ㅋㅋㅋㅋㅋㅋ 왜 이리 웃기게 생깃노,김한결,1:07
397,:oops:,s,1:07
398,상수병신,정상수이마털3가닥,1:07
399,방송 꺼라 상수야,CrocoDoodle,1:08
400,형님 안녕하십니까,이윤택,1:08
401,잘못배워서 그렇다고 이 병신새끼야 ,abc def,1:08
402,마 마스크 안 끼나,qpal,1:08
403,이산 삼산은 없냐 상수야,나에요 나,1:08
404,자랑이냐,kkkong king,1:08
405,채팅좀읽어봐,김태헌,1:08
406,조용하하세요 그냥,poinsettia,1:08
